"scenario","TM_or","TM_p","pm25_or","pm25_p","NO2_or","NO2_p","O3_or","O3_p","IRA_or","IRA_p","AIC"
"kriit_multivar",1.00153943432505,1.0664192035929e-05,0.973,0,1.065,0,1,0.9539,0.999991730581139,3.81195488897366e-06,1806256.06601405
"baseline_multivar",0.999841281398227,0.651556390636308,0.989,1e-04,0.995,0.2632,0.988,0,1.00001545936198,2.16281612785146e-17,1754199.93188141
"analysis 2_multivar",1.00217853784382,2.64480726397772e-09,0.987,0,1.028,0,1.012,0,1.00003441370422,4.62285239685591e-77,1747680.24145298
"analysis 3_multivar",1.00545157890394,9.36825089057448e-47,0.98,0,1.058,0,1.009,0,1.00003542465893,8.78036220515411e-81,1745234.66875924
"analysis 4_multivar",0.997874224077746,9.88277224668644e-10,0.999,0.5996,0.977,0,0.982,0,1.00001189171542,3.67623498441148e-11,1753922.29413292
"analysis 1_multivar",0.995701412758116,3.15749271086208e-30,1.004,0.2487,1,0.9347,0.983,0,0.999990261337112,6.38029142842666e-07,1522978.70882994
